{'folder': 1, 'file': 2, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 14, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 15, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 24, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 75, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 81, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 82, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 102, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 107, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 108, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 115, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 127, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 138, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 179, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 194, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 200, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 205, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 234, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 275, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 280, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 286, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 297, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 298, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 316, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 345, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 379, 'shape': (1024, 683, 3)}
{'folder': 3, 'file': 205, 'shape': (1024, 683, 3)}
{'folder': 3, 'file': 207, 'shape': (1024, 683, 3)}
{'folder': 3, 'file': 209, 'shape': (1024, 683, 3)}
{'folder': 3, 'file': 352, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 23, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 24, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 92, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 237, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 317, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 338, 'shape': (1024, 683, 3)}
{'folder': 5, 'file': 340, 'shape': (1024, 683, 3)}
{'folder': 6, 'file': 14, 'shape': (1024, 683, 3)}
{'folder': 6, 'file': 15, 'shape': (1024, 683, 3)}
{'folder': 6, 'file': 18, 'shape': (1024, 683, 3)}
{'folder': 6, 'file': 23, 'shape': (1024, 683, 3)}
{'folder': 6, 'file': 28, 'shape': (1024, 683, 3)}
{'folder': 1, 'file': 149, 'shape': (1024, 682, 3)}
{'folder': 1, 'file': 213, 'shape': (1024, 682, 3)}
{'folder': 1, 'file': 309, 'shape': (1024, 682, 3)}
{'folder': 1, 'file': 314, 'shape': (1024, 682, 3)}
{'folder': 1, 'file': 360, 'shape': (1024, 682, 3)}
{'folder': 3, 'file': 8, 'shape': (1024, 682, 3)}
{'folder': 3, 'file': 9, 'shape': (1024, 682, 3)}
{'folder': 5, 'file': 14, 'shape': (1024, 682, 3)}
{'folder': 5, 'file': 347, 'shape': (1024, 682, 3)}
{'folder': 5, 'file': 377, 'shape': (1024, 682, 3)}
{'folder': 6, 'file': 20, 'shape': (1024, 682, 3)}
{'folder': 1, 'file': 87, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 88, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 89, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 92, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 136, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 202, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 232, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 238, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 353, 'shape': (1024, 681, 3)}
{'folder': 3, 'file': 14, 'shape': (1024, 681, 3)}
{'folder': 3, 'file': 233, 'shape': (1024, 681, 3)}
{'folder': 3, 'file': 341, 'shape': (1024, 681, 3)}
{'folder': 5, 'file': 193, 'shape': (1024, 681, 3)}
{'folder': 5, 'file': 259, 'shape': (1024, 681, 3)}
{'folder': 5, 'file': 353, 'shape': (1024, 681, 3)}
{'folder': 1, 'file': 34, 'shape': (1024, 680, 3)}
{'folder': 1, 'file': 119, 'shape': (1024, 680, 3)}
{'folder': 1, 'file': 124, 'shape': (1024, 680, 3)}
{'folder': 1, 'file': 299, 'shape': (1024, 680, 3)}
{'folder': 1, 'file': 347, 'shape': (1024, 680, 3)}
{'folder': 3, 'file': 164, 'shape': (1024, 680, 3)}
{'folder': 3, 'file': 342, 'shape': (1024, 680, 3)}
{'folder': 5, 'file': 255, 'shape': (1024, 680, 3)}
{'folder': 1, 'file': 121, 'shape': (1024, 679, 3)}
{'folder': 1, 'file': 123, 'shape': (1024, 679, 3)}
{'folder': 5, 'file': 35, 'shape': (1024, 679, 3)}
{'folder': 3, 'file': 323, 'shape': (1024, 676, 3)}
{'folder': 1, 'file': 154, 'shape': (1024, 670, 3)}
{'folder': 3, 'file': 339, 'shape': (1024, 669, 3)}
{'folder': 1, 'file': 58, 'shape': (1024, 668, 3)}
{'folder': 1, 'file': 331, 'shape': (1024, 666, 3)}
{'folder': 1, 'file': 222, 'shape': (1024, 662, 3)}
{'folder': 1, 'file': 44, 'shape': (1024, 658, 3)}
{'folder': 1, 'file': 271, 'shape': (1024, 656, 3)}
{'folder': 1, 'file': 323, 'shape': (1024, 650, 3)}
{'folder': 5, 'file': 350, 'shape': (1024, 648, 3)}
{'folder': 5, 'file': 318, 'shape': (1024, 643, 3)}
{'folder': 1, 'file': 21, 'shape': (1012, 1024, 3)}
{'folder': 1, 'file': 300, 'shape': (998, 729, 3)}
{'folder': 1, 'file': 344, 'shape': (998, 724, 3)}
